Light at the end of the tunnel,కష్టాల తర్వాత మంచి ఫలితం కనిపించడం,प्रतिकूलता के बाद एक अच्छा परिणाम प्रतीत होता है
Make a long story short,సంక్షిప్తంగా చెప్పడం,संक्षेप में कहने के लिए
Make ends meet,ఆదాయం ఖర్చులకు సరిపోవడం,आय व्यय के लिए उपयुक्त
On cloud nine,చాలా సంతోషంగా ఉండడం,बहुत खुश होना
Out of the blue,ఆకస్మికంగా జరగడం,अचानक हो रहा है
Over the moon,చాలా ఆనందంగా ఉండడం,बहुत खुश होना
Play it by ear,పరిస్థితికి అనుగుణంగా వ్యవహరించడం,स्थिति के अनुसार निपटना
The tip of the iceberg,"సమస్యలో కనబడింది చిన్న భాగమే, ఇంకా ఎక్కువ ఉంది","समस्या सबसे छोटे हिस्से में है, और अधिक है"
A storm in a teacup,చిన్న విషయాన్ని పెద్ద సమస్యగా చూపించడం,एक बड़ी समस्या के रूप में छोटी चीज को दिखा रहा है
All in the same boat,అందరూ ఒకే సమస్యలో ఉండటం,हर कोई एक ही समस्या में है
An arm and a leg,చాలా ఖరీదైనది,बहुत महँगा
Apple of someone’s eye,చాలా ఇష్టమైన వ్యక్తి,एक बहुत पसंदीदा व्यक्ति
At the crack of dawn,తెల్లవారగానే,सुबह के रूप में जल्दी
Barking up the wrong tree,తప్పు వ్యక్తిపై ఆరోపణ చేయడం,गलत व्यक्ति पर आरोप लगाते हुए
Beat around the bush,ముఖ్య విషయానికి రాకుండా తిరగడం,ऊँची एड़ी के जूते से दूर
Better late than never,ఆలస్యమైనా వచ్చినా మంచిదే,देर से आना अच्छा है
Birds of a feather flock together,ఒకే స్వభావం ఉన్నవాళ్లు కలిసే ఉంటారు,"जिनके पास समान प्रकृति है, वे मिलेंगे"
Blow hot and cold,తారుమారు మనసు చూపించడం,हेरफेर दिमाग दिखा रहा है
Break a leg,శుభాకాంక్షలు (ప్రత్యేకంగా ప్రదర్శన ముందు),अभिवादन (विशेष रूप से शो से पहले)
Bring to light,బయట పెట్టడం,उत्पादित करना
By hook or by crook,ఏ విధంగానైనా,किसी भी तरह
Call a spade a spade,నిజం నిజంగానే చెప్పడం,सच वास्तव में बता रहा है
Cast in stone,మార్పు చేయలేని నిర్ణయం,एक निर्णय जिसे बदला नहीं जा सकता
Clam up,ఒక్కసారిగా మాట్లాడకపోవడం,एक बार में मत बोलो
Close but no cigar,దగ్గరగా విజయానికి వచ్చి విఫలమవడం,एक करीबी सफलता और असफल होने के लिए
Come rain or shine,ఏ పరిస్థితిలోనైనా,किसी भी स्थिति में
Cook up a story,అబద్ధం చెప్పడం,झूठ बोलना
Cry wolf,అబద్ధపు హెచ్చరికలు ఇవ్వడం,झूठी चेतावनी देना
Cut the ice,మొదలు పెట్టడం,आरंभ
Dead as a doornail,పూర్తిగా చనిపోయినది,पूरी तरह से मृत
Dig your heels in,మొండిగా నిర్ణయం తీసుకోవడం,ज़बरदस्त निर्णय
Dog days,వేసవి తీవ్ర ఉష్ణ కాలం,ग्रीष्मकालीन चरम थर्मल काल
Don’t cry over spilt milk,జరిగినదాన్ని గురించి వాపోవద్దు,क्या हुआ के बारे में चिंता मत करो
Don’t bite the hand that feeds you,సహాయం చేసిన వారిని కష్టపెట్టకండి,उन लोगों को सख्त न करें जिन्होंने मदद की है
Drive someone crazy,చిరాకు తెప్పించడం,परेशान
Eat like a bird,చాలా తక్కువగా తినడం,बहुत कम खाना
Eat like a horse,చాలా ఎక్కువగా తినడం,अत्यधिक खाना
Eleventh-hour decision,చివరి నిమిషం లో తీసుకున్న నిర్ణయం,अंतिम मिनट में लिया गया निर्णय
Every dog has its day,ప్రతి ఒక్కరికీ ఒకరోజు అవకాశం వస్తుంది,सभी को एक दिन मौका मिलता है
Feel on top of the world,చాలా ఆనందంగా ఉండటం,बहुत खुश होना
Fight tooth and nail,గట్టిగా పోరాడటం,संघर्ष के लिए संघर्ष
Fishy story,అనుమానాస్పదమైన కథ,एक संदिग्ध कहानी
Flash in the pan,తాత్కాలిక విజయమే కానీ దీర్ఘకాలం కాదు,अस्थायी जीत लेकिन लंबे समय तक नहीं
Fly off the handle,ఒక్కసారిగా కోపం రావడం,अचानक गुस्सा
From the horse’s mouth,నేరుగా అసలు వనరులోనుంచి సమాచారం,मूल संसाधन से सीधे जानकारी
Full of beans,ఉత్సాహంగా ఉండటం,उत्साही होना
Give someone a hand,సహాయం చేయడం,की मदद
Go Dutch,ఖర్చు పంచుకోవడం,साझाकरण लागत
Go the whole hog,పూర్తిగా చేయడం,पूरी तरह से कर रहे हैं
Grin from ear to ear,పెద్దగా నవ్వడం,हंसते हुए बड़ा
Have a change of heart,అభిప్రాయం మార్చుకోవడం,बदलती राय
Have your hands full,చాలా బిజీగా ఉండటం,बहुत व्यस्त होना
Head over heels,ప్రేమలో మునిగిపోవడం,प्यार में डूबना
Heart in your mouth,చాలా టెన్షన్ అనిపించడం,बहुत तनाव के लिए लग रहा है
Hit below the belt,అన్యాయం చేయడం,अन्याय करना
Hold your horses,ఓపిక పడడం,धैर्य
In black and white,"స్పష్టంగా, లిఖిత రూపంలో","स्पष्ट रूप से, एक लिखित रूप में"
In deep water,కష్టాల్లో ఉండటం,मुसीबत में रहना
In full swing,జోరుగా జరుగుతున్నది,एक विस्तृत श्रृंखला है
In the long run,"చివరికి, దీర్ఘకాలంలో","अंत में, लंबे समय में"
In your dreams,అసలు జరగని విషయం,बात यह नहीं होती है
Jump the queue,క్యూలో ముందుకు రావడం,कतार में आगे आ रहा है
Keep your eyes peeled,జాగ్రత్తగా చూడటం,ध्यान से देख रहे हैं
Kick up a fuss,గొడవ పెట్టుకోవడం,लड़ने के लिए
Know it like the back of your hand,బాగా తెలుసుకోవడం,अच्छी तरह से पता करना
Lame excuse,సరైన కారణం కానిది,सही कारण नहीं है
Let sleeping dogs lie,అవసరం లేని సమస్యను మేల్కొల్పకండి,ऐसी समस्या को जगाएं जो आवश्यक नहीं है
Let someone off the hook,శిక్ష నుండి విడిపించడం,सजा से मुक्त
Like a bull in a china shop,జాగ్రత్తలేకుండా పని చేయడం,सावधानी के बिना काम करने के लिए
Like two peas in a pod,చాలా ఒకేలా ఉండటం,बहुत समान होना
Make a beeline for,నేరుగా దాని దగ్గరికి వెళ్లడం,सीधे इसके करीब
Make a mountain out of a molehill,చిన్న విషయాన్ని పెద్దది చేయడం,छोटी चीज को बड़ा बनाने के लिए
Method to the madness,వింతగా కనిపించినా కారణం ఉండటం,अजीब दिखने के कारण का कारण
Money doesn’t grow on trees,డబ్బు సులభంగా రావడం కాదు,पैसा आना आसान नहीं है
Move heaven and earth,ఎంత కష్టమైనా ప్రయత్నించడం,कोशिश करना कितना कठिन है
Mum’s the word,రహస్యంగా ఉంచడం,रहस्य रखना
Not one’s cup of tea,తనకు నచ్చని విషయం,कुछ उसे पसंद नहीं है
Off the record,గోప్యంగా చెప్పినది,गोपनीय
Old habits die hard,పాత అలవాట్లు వదలడం కష్టం,पुरानी आदतों को छोड़ना मुश्किल है
On the dot,సమయానికి,समय के समय तक
On the spur of the moment,ఆలోచించకుండా అకస్మాత్తుగా చేయడం,बिना सोचे समझे अचानक
"Out of sight, out of mind",కనపడకపోతే మరచిపోవడం,भूल जाना अगर नहीं
Out of the frying pan into the fire,ఒక కష్టం నుంచి మరో పెద్ద కష్టంలో పడటం,एक कठिनाई से दूसरे में गिरना
Over the top,ఎక్కువగా చేసి చూపించడం,अधिकांश दिखा
Pass the buck,బాధ్యత వేరే వాళ్లపై నెట్టివేయడం,देयता
Pay through the nose,చాలా ఎక్కువ ఖర్చు చేయడం,बहुत अधिक खर्च करने के लिए
Play devil’s advocate,ఉద్దేశపూర్వకంగా వ్యతిరేకించడం,जानबूझकर विरोध
Play second fiddle,రెండో స్థానంలో ఉండడం,दूसरे स्थान पर है
Pull strings,ప్రభావం చూపించడం,एक प्रभाव बनाने के लिए
Put all your eggs in one basket,ఒకే అవకాశంపై ఆధారపడటం,एक ही अवसर पर भरोसा करना
Put two and two together,తర్కం ద్వారా అర్థం చేసుకోవడం,तर्क द्वारा समझने के लिए
Read between the lines,లోతైన అర్థం తెలుసుకోవడం,गहरे अर्थ को जानने के लिए
Read someone like a book,ఎవరి ఆలోచనలూ సులభంగా తెలుసుకోవడం,यह जानना कि किसके विचार जानना आसान है
Ring a bell,ఎక్కడో విన్నట్టుగా అనిపించడం,कहीं सुनने जैसा लगता है
Rock the boat,పరిస్థితి చెడగొట్టడం,स्थिति परेशान कर रही है
Rule of thumb,అనుభవంతో వచ్చిన సాధారణ నియమం,सामान्य नियम जो अनुभव के साथ आता है
Safe and sound,సురక్షితంగా ఉండటం,सुरक्षित होना
Saved by the bell,చివరి నిమిషంలో కాపాడబడటం,अंतिम समय में बचाया जाना
See red,కోపంతో మండిపోవడం,गुस्से में जलना
Set the ball rolling,పనిని మొదలుపెట్టడం,प्रारंभिक कार्य
Shot in the dark,అంచనాగా చెప్పడం,एक अनुमान के रूप में कहना
Show your true colors,అసలు స్వభావం బయట పెట్టడం,मूल प्रकृति को प्रकट करने के लिए
Skeleton in the closet,దాచిన రహస్యాలు,छिपे हुए रहस्य
Sleep on it,నిర్ణయం తీసుకోవడానికి సమయం తీసుకోవడం,निर्णय लेने के लिए समय निकालना
Smell a rat,అనుమానం రావడం,संदेह आ रहा है
Snowed under,చాలా పనిలో మునిగిపోవడం,बहुत काम में डूबना
Spill the beans,రహస్యాన్ని బయట పెట్టడం,रहस्य को बाहर करना
Steal someone’s thunder,ఇతరుల క్రెడిట్ తీసుకోవడం,दूसरों का श्रेय लेने के लिए
Stick to your guns,తన నిర్ణయంపై నిలబడటం,अपने फैसले पर खड़े होकर
Straight from the horse’s mouth,నేరుగా విశ్వసనీయమైన వనరులోనుంచి సమాచారం,सीधे विश्वसनीय संसाधन से जानकारी
Take a back seat,"వెనకబడి ఉండటం, తక్కువ పాత్ర పోషించడం","पिछड़े होने के नाते, एक कम भूमिका निभाना"
Take a rain check,తర్వాతికి వాయిదా వేసుకోవడం,अगले को स्थगित करना
Take it easy,ఆరామంగా ఉండు,रहना
Take the cake,"అతి, అసాధారణం కావడం","बेहद, असामान्य"
Take the edge off,ప్రభావం తగ్గించడం,प्रभाव को कम करना
Take the plunge,పెద్ద నిర్ణయం తీసుకోవడం,एक बड़ा निर्णय लेना
Talk of the town,అందరూ మాట్లాడుకునే విషయం,हर कोई बात कर रहा है
Throw caution to the wind,రిస్క్ తీసుకోవడం,जोखिम लेने
Toe the line,నియమాలను పాటించడం,नियमों का पालन करते हुए
Turn the tables,పరిస్థితిని మార్చి గెలవడం,स्थिति जीतना
Under your nose,మీ ముందే ఉన్నది,आपके सामने आपका
Until the cows come home,చాలా ఎక్కువ సమయం వరకు,बहुत अधिक समय तक
Up for grabs,అందరికీ లభ్యమయ్యేది,सभी के लिए उपलब्ध है
Variety is the spice of life,భిన్నత్వమే జీవితంలో రుచికరమైనది,जीवन में विविधता स्वादिष्ट है
Wait for the dust to settle,పరిస్థితి స్థిరపడే వరకు ఆగడం,स्थिति तय होने तक रुकना
Walk on air,చాలా ఆనందంగా ఉండటం,बहुत खुश होना
Wash your hands of something,సంబంధం లేకుండా పోవడం,निम्न पर ध्यान दिए बगैर
Water under the bridge,"గతంలో జరిగిన, ఇప్పుడు ముఖ్యం కాని విషయం","अतीत में हुआ, अब यह महत्वपूर्ण नहीं है"
Wear your heart on your sleeve,తన భావాలను బయటపెట్టడం,उसकी भावनाओं को उजागर करना
Wild goose chase,వృధా ప్రయాస,बर्बाद संघर्ष
With flying colors,విజయవంతంగా,सफलतापूर्वक
Word of mouth,మాటల ద్వారా వ్యాప్తి,शब्दों में फैलाना
Work like a dog,చాలా కష్టపడటం,बहुत कठिन
Yellow-bellied,భయపడే వ్యక్తి,एक व्यक्ति जो डरता है
Your guess is as good as mine,నాకు కూడా తెలియదు,मैं भी नहीं जानता
Ace up your sleeve,రహస్యంగా ఉంచిన ప్రయోజనం,गुप्त गुप्त का उद्देश्य
As cool as a cucumber,చాలా శాంతంగా ఉండటం,बहुत शांत होना
As fit as a fiddle,ఆరోగ్యంగా ఉండటం,स्वस्थ होना
As light as a feather,చాలా తేలికైనది,बहुत हल्का
As quick as a flash,చాలా వేగంగా,बहुत तेज
At the end of your rope,ఇక సహించలేని స్థితి,सहिष्णु की स्थिति
Back against the wall,తప్పించుకోలేని పరిస్థితి,ऐसी स्थिति जिसे टाला नहीं जा सकता
Be all ears,శ్రద్ధగా వినడం,ध्यान से सुनना
Be all in the same boat,ఒకే సమస్యలో ఉండటం,एक ही समस्या में होना
Be full of hot air,పనికిరాని మాటలు మాట్లాడటం,बेकार शब्द बोलना
Be in someone’s shoes,వేరొకరి పరిస్థితిలో ఉండటం,किसी और की स्थिति में होना
Be like chalk and cheese,పూర్తిగా వేరుగా ఉండటం,पूरी तरह से अलग होना
Be on cloud nine,చాలా సంతోషంగా ఉండటం,बहुत खुश होना
Be over the hill,వయసు దాటిపోవడం,उम्र से परे उम्र
Be snowed in,మంచు వల్ల ఇరుక్కుపోవడం,बर्फ में फंस गया
Beat a dead horse,అవసరం లేని విషయాన్ని పునరావృతం చేయడం,उस सामग्री को दोहराना जिसकी आवश्यकता नहीं है
Behind closed doors,గోప్యంగా,गोपनीय
Better safe than sorry,జాగ్రత్త మంచిది,देखभाल अच्छी है
Big cheese,ముఖ్యమైన వ్యక్తి,महत्वपूर्ण व्यक्ति
Big fish in a small pond,చిన్న వర్గంలో పెద్ద వ్యక్తి,छोटी श्रेणी का व्यक्ति जितना बड़ा होता है
Big shot,ప్రభావశీలి,प्रभाव
Bird’s eye view,సమగ్ర దృశ్యం,एक व्यापक दृश्य
Bite your tongue,మాట్లాడకుండా ఆగిపోవడం,बात करना बंद करें
Blind as a bat,ఏమి చూడలేని స్థితి,देखने में असमर्थ की स्थिति
Blow off steam,కోపం తగ్గించుకోవడం,क्रोध को कम करना
Break the bank,మొత్తం డబ్బు ఖర్చు చేయడం,सभी पैसे खर्च करने के लिए
Bring down the house,ప్రేక్షకులను మురిపించడం,दर्शकों को अभिभूत करने के लिए
Build castles in the air,అసాధ్యమైన కలలు కనడం,असंभव सपनों में दिखाई दे रहा है
Burn your fingers,తప్పు చేయడం వల్ల నష్టపోవడం,गलती करके नुकसान
Call it quits,మానేయడం,अर्थ
Carry the day,విజయవంతం కావడం,सफल होने के लिए
Cat nap,చిన్న నిద్ర,छोटी नींद
Chip off the old block,తండ్రి లాగా కొడుకు ఉండటం,पिता की तरह बेटा होना
Clean slate,కొత్తగా మొదలు పెట్టడం,नया शुरू करना
Climb the ladder,విజయానికి ఎదగడం,सफलता के लिए बढ़ रहा है
Come clean,నిజం చెప్పడం,सच बोलने के लिए
Cool as ice,శాంతంగా ఉండటం,शांत होना
Couch potato,అలసటగా ఎప్పుడూ టీవీ చూసేవాడు,थका हुआ कभी टीवी न देखें
Crack the whip,కఠినంగా నియంత్రించడం,कसकर नियंत्रित करना
Cry over nothing,అవసరం లేని విషయంపై ఏడవడం,उस विषय पर रोना जिसकी आवश्यकता नहीं है
Cut a deal,ఒప్పందం కుదుర్చుకోవడం,समझौते में प्रवेश करने के लिए
Cut no ice,ప్రభావం చూపకపోవడం,अपर्याप्त प्रभाव
Dance to someone’s tune,ఇతరుల మాటలు వినడం,दूसरों के शब्दों को सुनकर
Dark horse,అనుకోని విజేత,एक अप्रत्याशित विजेता
Dead end,మార్గం లేకపోవడం,मार्ग की कमी
Deep pockets,చాలా ధనవంతుడు,बहुत अमीर
Dog eat dog world,కఠిన పోటీ ప్రపంచం,सख्त प्रतिस्पर्धी दुनिया
Don’t count your chickens before they hatch,జరగకముందే లెక్కించకండి,होने से पहले गिनती न करें
Don’t jump the gun,ముందే తొందరపడకండి,पहले जल्दी मत करो
Don’t make a mountain out of a molehill,చిన్న విషయాన్ని పెద్దది చేయకండి,छोटी चीजें बड़ी न करें
Draw the line,హద్దు పెట్టడం,सीमांकन
Drop a line,చిన్న మెసేజ్ పంపడం,एक छोटा सा संदेश भेजना
Dutch courage,మందు తాగిన తర్వాత వచ్చిన ధైర్యం,ड्रग नशे के बाद पहुंचने का साहस
"Easy come, easy go",సులభంగా వచ్చినది సులభంగా పోతుంది,पहुंचने के लिए आसान आसानी से खो जाता है
Eat humble pie,తప్పు అంగీకరించడం,गलत स्वीकार करना
Elephant in the room,అందరూ పట్టించుకోని పెద్ద సమస్య,एक बड़ी समस्या जो हर किसी को परवाह नहीं है
End of the line,చివరి దశ,अंतिम चरण
Fall flat,విఫలమవడం,असफलता
Fall on deaf ears,పట్టించుకోకపోవడం,की उपेक्षा
Feather in your cap,గర్వకారణం,गर्व
Fifth wheel,అవసరం లేని వ్యక్తి,एक व्यक्ति जिसकी आवश्यकता नहीं है
Find your feet,కొత్త పరిస్థితికి అలవాటు పడటం,नई स्थिति के लिए इस्तेमाल होने की आदत
Finger in every pie,అన్నింటిలోనూ కలగజేయడం,यह सब के दौरान
Fit the bill,అవసరానికి సరిపోవడం,ज़रूरत को पूरा करने के लिए
Follow suit,ఇతరుల మాదిరిగా చేయడం,दूसरों की तरह करना
For a song,చాలా తక్కువ ధరకు,बहुत सस्ती कीमत के लिए
French leave,చెప్పకుండా వెళ్లిపోవడం,बिना कहे बाहर जाना
From rags to riches,పేదరికం నుంచి సంపదకు చేరడం,गरीबी से धन तक पहुंचने के लिए
Full circle,మొదట్లో ఉన్న స్థితికి తిరిగి రావడం,जल्दी की स्थिति में लौटकर
Game of two halves,పరిస్థితి మధ్యలో మారిపోవడం,स्थिति के बीच में बदलना
Get into hot water,కష్టాల్లో పడటం,मुसीबत में पड़ने के लिए
Get the ball rolling,మొదలు పెట్టడం,आरंभ
Get wind of,సమాచారం దొరకడం,जानकारी खोजने के लिए
Gift of the gab,బాగా మాట్లాడగల శక్తి,अच्छी तरह से बोलने की शक्ति
Give the game away,రహస్యాన్ని బయట పెట్టడం,रहस्य को बाहर करना
Go belly up,విఫలమవడం,असफलता
Go down swinging,చివరి వరకు ప్రయత్నించడం,अंत तक होने की कोशिश कर रहा है
Go for broke,మొత్తం రిస్క్ చేయడం,संपूर्ण जोखिम
Go nuts,పిచ్చివాడిలా ప్రవర్తించడం,एक पागल की तरह व्यवहार करना
Go to the dogs,చెడిపోవడం,हानि
Golden handshake,రిటైర్మెంట్ బెనిఫిట్,सेवानिवृत्ति परिलाभ
Green with envy,అసూయతో మండిపోవడం,ईर्ष्या के साथ जलना
Grin and bear it,కష్టాన్ని సహించడం,कठिनाई को सहन करने के लिए
Have a bone to pick,ఫిర్యాదు చేయడం,उपालंभ देना
Have a chip on your shoulder,కోపంతో ఉండటం,गुस्सा होना
Have a sweet tooth,తీపి పదార్థాలు ఇష్టపడటం,पसंदीदा मीठी सामग्री
Have bigger fish to fry,మరింత ముఖ్యమైన పనులు ఉండడం,अधिक महत्वपूर्ण कार्य होना
Have your cake and eat it too,రెండూ ప్రయోజనాలు పొందాలని ఆశించడం,दोनों लाभों की कामना करना
Head in the clouds,వాస్తవం పట్టించుకోకపోవడం,तथ्य को अनदेखा करना
Heart of gold,మంచితనం గల వ్యక్తి,अच्छाई के साथ एक व्यक्ति
Hell or high water,ఏ కష్టమైనా ఎదుర్కోవడం,किसी भी कठिनाई का सामना करना
